1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
2000,704,4,4,1410,1,542,538,3,1972,2704,5,13860,75,0,111,7,8,1952,1972,1995,345000
520,0,1,1,0,1,520,240,1,1920,520,2,6324,60,0,0,6,4,520,1927,1950,68500
1020,1037,3,1,223,4,794,180,3,1936,2057,4,11500,86,0,0,7,7,1017,1936,1987,250000
1694,0,3,3,0,1,1694,776,1,2008,1694,4,10475,64,72,33,5,8,1694,2008,2008,245350
842,630,3,2,0,1,702,250,1,1925,1472,4,9600,60,0,0,8,5,702,1925,1994,125000
1276,804,3,1,0,1,1276,282,1,1926,2080,4,10918,53,0,0,9,7,1276,1926,2004,234000
988,517,3,1,399,4,484,240,1,1940,1505,3,9144,70,0,0,5,5,883,1940,1982,145000
1586,0,3,1,0,1,1362,435,1,1979,1586,3,17043,48,0,0,5,6,1362,1979,1998,181000
929,929,5,1,0,1,755,0,0,1912,2229,3,5520,92,0,198,6,6,755,1912,1950,104000
956,1128,4,1,656,6,300,618,2,2004,2084,4,10142,76,0,45,5,7,956,2004,2004,233000
1080,672,4,3,427,6,132,492,2,1988,1752,3,12134,152,0,12,7,8,559,1988,2005,164000
960,780,3,1,410,3,390,240,1,1940,1740,3,13125,75,0,0,6,7,800,1940,1984,219500
847,1101,3,1,0,1,847,434,1,2004,1948,4,12393,41,0,48,5,7,847,2004,2005,195000
897,439,3,1,637,4,0,570,1,1994,1336,3,11040,60,0,47,6,4,637,1920,1950,108000
894,0,3,1,894,5,0,552,1,1975,894,3,9800,70,0,0,7,5,894,1972,1972,149900
1980,0,3,3,1447,6,533,770,3,2004,1980,5,16737,129,66,45,5,9,1980,2004,2005,315000
753,741,3,1,547,3,224,213,1,1942,1494,4,7500,70,0,0,7,6,771,1942,1950,177500
1048,510,3,1,580,3,333,288,1,1962,1558,3,10930,60,0,0,6,5,913,1945,1950,140000
1294,0,2,3,0,1,1286,662,2,2006,1294,4,6762,64,0,55,5,7,1286,2006,2006,193879
2136,0,4,1,756,2,1380,528,1,1951,2136,3,10680,89,44,30,3,5,2136,1951,1951,137900
672,546,3,1,317,3,355,264,1,1972,1218,3,1680,21,281,28,7,6,672,1972,1972,118000
1719,0,1,4,1619,6,100,473,3,1993,1719,4,10846,32,0,30,5,8,1719,1993,1993,324000
2402,0,2,4,1767,6,788,672,3,2008,2402,5,15431,105,200,72,5,10,3094,2008,2008,555000
1664,862,5,1,168,4,0,216,1,1916,2526,4,8520,60,0,15,7,6,714,1916,1950,136000
708,0,2,1,280,2,140,0,0,1940,708,2,5330,50,0,0,7,4,420,1940,1950,82500
581,530,3,1,0,1,530,288,1,1935,1111,2,7200,60,0,0,7,5,530,1920,1996,101000
