KitchenQual,OverallQual,YearBuilt,GrLivArea,TotalBsmtSF
4,7,2006,1496,654
5,8,2006,1567,1520
3,5,1952,1148,980
5,8,2006,1970,1085
4,8,1990,2810,1453
4,8,1998,2630,1470
3,5,1960,2274,1105
3,6,1958,1261,1261
3,5,1964,1486,1486
3,5,1953,773,773
4,6,1962,1537,1319
4,7,1998,1779,866
3,4,1959,1225,950
4,6,2003,848,848
3,6,1937,1376,780
3,6,1999,1471,729
2,4,1923,869,440
3,6,1999,1458,729
3,5,1974,894,864
3,7,1998,1718,832
3,5,1975,1701,1390
3,4,1972,864,864
3,6,1976,1855,528
3,6,1986,1651,1606
4,6,2009,1224,612
3,5,1957,928,928
2,4,1930,1092,0
5,7,1925,1641,728
3,6,1968,1416,708
5,8,2005,1904,1058
3,5,1956,936,936
3,6,1980,1556,716
3,4,1951,864,864
4,7,2002,1654,1654
4,5,1918,1416,816
4,8,1999,2365,1252
4,4,1950,1067,1067
3,6,1978,1902,0
4,7,2003,1557,1374
3,7,1998,1839,1195
